"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"9045","INPPL1",1166,-0.066914,0.946650167630694,0.976361783511842,"FALSE"
"9046","AMZ1",5228,-0.067341,0.946310237668653,0.976152588894106,"FALSE"
"9047","TIMM44",5005,-0.067694,0.946029225663126,0.976152588894106,"FALSE"
"9048","SMDT1",3708,-0.067731,0.945999771535168,0.976152588894106,"FALSE"
"9049","GGACT",4628,-0.068175,0.945646327768597,0.975893126480734,"FALSE"
"9050","RNF114",7645,-0.068442,0.945433789028685,0.975778819774702,"FALSE"
"9051","MYCL",10191,-0.068544,0.945352595478347,0.975778819774702,"FALSE"
"9052","DGCR5",6190,-0.06888,0.945085138390778,0.975633720427668,"FALSE"
"9053","PWAR6",12225,-0.06888,0.945085138390778,0.975633720427668,"FALSE"
"9054","TCF12",1568,-0.069272,0.944773112947365,0.975503486350335,"FALSE"
"9055","ZNF736",4116,-0.069892,0.944279620634446,0.975300051801186,"FALSE"
"9056","MALSU1",14880,-0.069909,0.944266089693953,0.975300051801186,"FALSE"
"9057","ZNF69",11862,-0.069947,0.944235844120416,0.975300051801186,"FALSE"
"9058","MRPL40",15267,-0.070063,0.944143516024969,0.975300051801186,"FALSE"
"9059","VAMP4",10158,-0.070562,0.943746354600437,0.975210760201082,"FALSE"
"9060","MATR3",8730,-0.07083,0.943533055232401,0.975180032724711,"FALSE"
"9061","CDA",3088,-0.070951,0.943436753485306,0.975146831459735,"FALSE"
"9062","SLC16A1",5854,-0.071138,0.943287925139202,0.975121028252691,"FALSE"
"9063","BTBD7",10337,-0.071515,0.942987886850922,0.975002907700799,"FALSE"
"9064","FLI1",4917,-0.071708,0.942834289475842,0.97490811635891,"FALSE"
"9065","ZIC3",12873,-0.072009,0.94259474548296,0.974724436334507,"FALSE"
"9066","DNAJB4",2729,-0.072451,0.942242999268159,0.974457616733031,"FALSE"
"9067","SLC22A18AS",12903,-0.07257,0.942148300285859,0.974457616733031,"FALSE"
"9068","PIN1P1",6899,-0.072927,0.941864208251097,0.974352953936499,"FALSE"
"9069","BCL7B",12288,-0.073188,0.941656515391322,0.974202104923869,"FALSE"
"9070","JADE2",12195,-0.073218,0.941632642902768,0.974202104923869,"FALSE"
"9071","BCLAF1",13406,-0.073248,0.941608770466651,0.974202104923869,"FALSE"
"9072","MAPK13",1356,-0.073398,0.941489409073366,0.974202104923869,"FALSE"
"9073","NEK8",15342,-0.074032,0.940984922798238,0.9740833405298,"FALSE"
"9074","KRTAP10-8",14301,-0.074035,0.940982535695334,0.9740833405298,"FALSE"
"9075","DEPP1",14307,-0.074535,0.940584692635774,0.973861115640841,"FALSE"
"9076","LOC729080",14544,-0.074917,0.940280750523727,0.973610444363809,"FALSE"
"9077","ARRDC4",3749,-0.075511,0.939808145790874,0.973185087502619,"FALSE"
"9078","ELP3",14287,-0.076045,0.939383296998971,0.972820664380026,"FALSE"
"9079","TPCN2",912,-0.076098,0.939341131297711,0.972820664380026,"FALSE"
"9080","ZNF517",11608,-0.07628,0.939196337166155,0.972820664380026,"FALSE"
"9081","LLPH",14655,-0.076625,0.938921870294624,0.972779156924975,"FALSE"
"9082","PLXNA3",13106,-0.076865,0.938730941096132,0.972709356206555,"FALSE"
"9083","SSU72",5272,-0.077152,0.93850262622153,0.972681869681925,"FALSE"
"9084","PRPS2",14536,-0.077336,0.938356252793022,0.972681869681925,"FALSE"
"9085","IFITM1",6192,-0.077775,0.938007033306876,0.972471241154722,"FALSE"
"9086","PLCL2",15664,-0.078109,0.937741348104555,0.97225981337457,"FALSE"
"9087","RETSAT",9965,-0.078315,0.937577485834882,0.972155585309517,"FALSE"
"9088","ZFP36",8565,-0.078491,0.937437489096382,0.972136815242214,"FALSE"
"9089","APBB3",4819,-0.078681,0.937286358424647,0.972044112330132,"FALSE"
"9090","HIST1H3E",6211,-0.079405,0.936710491776584,0.971719406787425,"FALSE"
"9091","BET1L",7343,-0.079499,0.936635726981584,0.971719406787425,"FALSE"
"9092","LAP3",8020,-0.07968,0.936491766556931,0.971719406787425,"FALSE"
