"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez"
"ENSG00000228889",4368.78070296121,0.825959213217969,0.319526900752673,2.58494421368702,0.00973947543624268,0.155823251538373,"UP","UBAC2-AS1","100289373"
"ENSG00000176978",937317.821414911,-0.310865330889898,0.120266910317136,-2.58479518655768,0.00974368585173598,0.155823251538373,"DOWN","DPP7","29952"
"ENSG00000080166",19581.7260850992,0.617438999997707,0.238910393541587,2.58439572613331,0.00975497968159051,0.155823251538373,"UP","DCT","1638"
"ENSG00000170962",17524.305563754,-1.06910860829812,0.413896499653355,-2.58303370333771,0.00979357551955543,0.156249209035396,"DOWN","PDGFD","80310"
"ENSG00000276692",5323.26399735833,0.727439498999403,0.281632498546573,2.58293876862051,0.0097962707647187,0.156249209035396,"UP",NA,NA
"ENSG00000165115",19506.4304704978,0.457664291812795,0.177206309883447,2.58266363152538,0.00980408578177896,0.156269399358068,"UP","KIF27","55582"
"ENSG00000233461",4296.26499149553,-0.706915242750866,0.273798817047207,-2.58187836738894,0.00982642105474989,0.156479039194299,"DOWN",NA,NA
"ENSG00000135114",3936.15262500385,0.926295889904293,0.358853127022932,2.58126743269288,0.00984382922219297,0.156589072713831,"UP","OASL","8638"
"ENSG00000263887",10217.7133685831,0.832426489230988,0.322569525362628,2.58061107383032,0.0098625623354518,0.15668350165459,"UP",NA,NA
"ENSG00000013306",434223.387749935,-0.330401761617466,0.128032957533475,-2.58059930804207,0.00986289843196825,0.15668350165459,"DOWN","SLC25A39","51629"
"ENSG00000065621",110529.42827055,0.402372320240132,0.15596375243628,2.57990920297025,0.0098826295426417,0.156892497349949,"UP","GSTO2","119391"
"ENSG00000176697",55217.7650092786,0.651780641285621,0.252717988985308,2.57908288959799,0.00990630130719147,0.15714062937194,"UP","BDNF","627"
"ENSG00000198939",38909.7264725315,0.307504184322665,0.119253284160781,2.57858042641475,0.00992072027742167,0.157161982953154,"UP","ZFP2","80108"
"ENSG00000230555",7935.34995448746,0.588638396819881,0.228296144795685,2.57839832269917,0.00992595064374514,0.157161982953154,"UP",NA,NA
"ENSG00000101605",79659.1589041624,0.45588663996939,0.176890905619793,2.57721920961424,0.00995987651098517,0.15738289988492,"UP","MYOM1","8736"
"ENSG00000049247",57189.7434694979,0.533551649246841,0.207066460547123,2.57671690450042,0.00997436036126083,0.15738289988492,"UP","UTS2","10911"
"ENSG00000129167",4487.60531044952,0.76000969450541,0.294960680989401,2.57664747706735,0.00997636376012634,0.15738289988492,"UP","TPH1","7166"
"ENSG00000185112",57622.8992917471,-0.454619747623724,0.176445903290179,-2.57653897963314,0.00997949528116965,0.15738289988492,"DOWN","FAM43A","131583"
"ENSG00000148926",71925.5816008994,-1.24467541559405,0.483102754380415,-2.57641962151583,0.00998294128145403,0.15738289988492,"DOWN","ADM","133"
"ENSG00000059804",577481.347503275,-0.62825616689157,0.24386181452283,-2.57627939052654,0.00998699125864779,0.15738289988492,"DOWN","SLC2A3","6515"
