Ctx_PD_up,Ctx_PD_dn,Str_PD_up,Str_PD_dn,SN_PD_up,SN_PD_dn,Ctx_DLB_up,Ctx_DLB_dn
VPS13D,SHC4,DHX9,TCERG1L,C1orf213,SLC16A14,IFFO2,GALNTL2
CABYR,ST18,COCH,SERINC5,C1orf64,CTSL2,LYPLAL1,PARD3B
HTR2A,TMEM98,NQO1,RASGRP3,CCDC117,EFHB,TCEANC2,OLFM3
JPH3,HOXD1,DIAPH2,LMOD1,LOC150622,LRRC34,SYT2,ANTXR2
DISP2,RBM3,DLG2,BAMBI,CTSD,CTSO,UHMK1,MORN4
CIT,KLK6,DLX6,C11orf20,FAM59B,CX3CR1,WDR64,ADD2
IRAK1BP1,FNDC1,DNA2,PAMR1,WDSUB1,SCFD2,C1orf131,CLIC1
HLA-DQB1,CREB5,DPP6,MYRIP,FAM19A4,JAKMIP1,PIGU,CPXM2
PAK3,ARMC4,DRD1,CLIC4,PPP4R2,CYB561,C22orf25,SERPINA3
DCBLD1,MAGOH,DRD2,GPR124,PPM1K,SRFBP1,PPP1R21,FAT3
TSHZ2,GABRG1,EDNRB,TMEM98,SLC25A48,CYBB,LYG1,CLN5
PKD2L1,CD22,EEF1A2,SUSD5,BTNL9,RUNDC3B,MITD1,LRRK2
SCN2A,ANGPT2,ARID2,CHD5,RNF145,FBXO16,COL9A2,METTL21CP1
TTTY10,C6orf97,EIF4A2,RAI14,SNRNP48,FAM91A1,RFTN2,TTC8
FOXD4L1,SERPINH1,EIF5,SNORA71B,CNKSR3,LOC158696,TTC32,SLC24A4
DLGAP4,PLLP,FLCN,GGT5,MBOAT1,ARHGAP36,CCDC148,LRRC28
NEDD4L,CCDC80,AMZ2P1,GJB1,CCDC167,DACH1,CCDC58,AGPHD1
HAMP,OAZ2,EPB41,B3GAT1,CYP2J2,TMTC2,KCNH8,CDYL2
GLRA2,AMY1C,EPB41L1,ARRDC2,PRUNE2,CD55,CRYBG3,SLC43A2
AFF2,NDUFA5,EPHA7,DENND2A,MOSPD2,PPTC7,COX5B,ADH1B
DLK1,IL27,EPHB1,CPAMD8,USP54,DCC,FAM173B,CNN1
ETNK2,FLJ14213,EPHB6,TNFRSF21,CYP27A1,EID2,DNAJC21,CNR1
SLC17A6,GALNTL2,EPRS,RBMX,AARS,KANK4,ADORA2A,C1orf173
TTC9B,EFHB,ERBB4,TOX3,SASS6,DCX,HINT3,FAM213B
CLIC5,H3F3B,EXTL2,GPD1,DDB2,DDC,CPA2,PODN
CACNG3,PPIE,EYA1,PRLHR,AKR1C1,GADD45A,CPM,LRRC39
CDH8,SPATS1,YPEL4,FAM177A1,AEBP1,WDR69,CPOX,COL1A1
C21orf77,SGMS2,C11orf45,GPR17,UBXN2A,BBS12,VPS37A,OSCP1
PRICKLE1,ENOSF1,ABCB7,PTRF,DDX11,LIX1,AGPAT6,C1orf87
C1QL4,GJC2,DOK6,MAMSTR,CFD,TIMM8A,NACC2,COL1A2
NUFIP2,HEPN1,FAM171A1,C5orf64,DFFB,ZNF596,C9orf85,COL3A1
OXTR,BOK,SLC39A12,PRR18,DHCR24,ZCCHC12,C9orf23,COL4A1
SEMA4A,ANXA1,SPATA13,LCN12,NQO1,DHX36,CRHBP,C1orf88
TDRD9,GBP3,BEND6,C9orf150,DMBT1,ADAMTS18,UPRT,C1orf162
NOVA2,CH25H,TDRD6,IGLV6-57,DMPK,SYNPO2,NEK7,COL4A2
RPRM,BEST1,PHACTR1,TRIB2,DNA2,DLAT,CRY1,NKAIN4
SGTB,CNDP1,DAGLB,SNX24,DNM2,DLD,KIAA0889,VSTM2L
DAPL1,C21orf37,NAPEPLD,SPCS1,DNMT1,DMD,UBE2F,COL5A2
SERPINA3,WDR63,TMEM130,DBNL,DPAGT1,DNM1,SMCR5,COL6A3
KCNA5,RGS22,ALDH3A2,GRIK4,DUSP1,AGL,TRPM6,CNTNAP5
CADPS2,LAMP5,FGF13,CTNNA3,DVL1,DYNC1I1,CRYAB,FBLN7
KIR2DL5A,SLCO1A2,FGF14,CXCL2,DVL2,TRDMT1,CRYZ,ICA1L
ATP2B4,NINJ2,FKBP1A,GSTM5,PHC2,DPYSL3,SYT9,COL11A1
DYRK1B,SRPX,HSPA4L,GSTZ1,EEF1D,DRD2,CSF1,PLEKHH2
PRSS3,RHOB,NLGN4Y,ALG5,CELSR2,ECM2,PIWIL4,OSR1
HPCAL4,LOC731809,CNKSR2,PYCR2,ZFC3H1,AGTR1,CSF2RA,LYPD6B
NGB,PDLIM1,FKBP3,GYS1,FUK,APLNR,LAYN,TMEM178
KCNMA1,IQCG,NLGN1,LMCD1,MLKL,EBF1,PLEKHA7,MDH1B
CNNM1,C17orf108,FOXG1,ANXA2,EIF5A,GPR183,DNHD1,PQLC3
FBXL16,DOCK10,WDR47,H3F3B,ELF2,EDN1,ZNF664,FBXO36
NBR2,WDR51B,MAPRE3,HBB,ABCA2,EDNRA,C12orf66,CPNE4
GPR83,PRRX2,PALLD,HBD,TXLNA,EGR1,LACC1,KLF6
RNF150,STEAP4,PDZD2,SOX8,MARK2,SDR16C5,PRIMA1,SYNPR
LOC123688,SFRP2,MYT1L,CDR2L,CENPV,EGR3,CEP128,ENPP6
INPP4A,JUN,NMNAT2,HOXB1,FLCN,PLBD2,C15orf61,SLC9B2
SLC29A2,GADD45G,MYCBP2,HOXD1,SLC39A11,EIF2S3,ZFP90,AFAP1L1
CYGB,EVI2A,FOXO1,HPCAL1,EMP3,EIF4E,CSRP1,UBLCP1
EPB41L4B,MAS1,PEG10,HPR,LGI3,ELAVL2,EME1,COX7A1
COL11A1,PPP1R15A,ARHGAP26,TNC,EPHX1,ELAVL4,KCTD11,CLVS2
ZNF454,GAS1,AKR1B1,GPIHBP1,MECOM,ALG14,LINC00085,PACRG
ARL17P1,LRRC46,DDN,ENPP7,EVI2A,PLD5,ZNF480,CP
JPH4,PTGDS,TNRC6B,ID1,ACSL1,TMEM17,LOC147727,TRIM50
FAM150B,PNP,FAM179B,NRBP2,FAP,C17orf108,ZNF560,ADORA2B
FAM81A,MALAT1,NCDN,APOC1,YPEL4,SLC10A4,ZNF420,CPE
RALYL,CEBPD,LPIN1,IDH2,FAT2,EN1,ZNF565,RALYL
ZNF641,TTC32,PASK,GLDN,UNC5B,DNAJC18,ZNF583,HGSNAT
CORO6,OFD1,JMJD6,IFI27,CYBASC3,C9orf72,ZNF558,CRABP1
PPFIA3,NT5E,PRRC2C,SLC35B2,OTUD1,ANO5,ZNF570,CRABP2
L1CAM,DNAJB1,RHOBTB2,RBPMS2,CCDC7,EPB49,SAMD13,SLITRK4
PAK6,SPATA18,PLCL2,IGFBP2,FAM171A1,EPHA5,PDIK1L,CRIP2
SLC18A2,C8orf34,ARHGEF9,IGFBP3,CPNE2,EPHA7,CTNS,PNCK
LOC389458,LEPR,PLCB1,IGFBP4,TDRD6,F2RL2,CTPS,CRMP1
TCERG1L,VCAM1,KIAA0922,NIPAL4,LOC221442,F3,TTL,S100A16
CHAC1,C11orf66,ANKRD12,WDR86,LEMD2,ALDH1A1,C2orf15,TCEAL2
MRAS,PRG4,CAMTA1,GATS,PHACTR1,F12,LOC150622,MACROD2
FRMD3,WIPF1,LPHN2,IL4R,C7orf41,F13A1,FAM59B,TMEM37
LRRC4C,BTBD16,MGA,AQP1,NAPEPLD,FABP7,LOC151174,CRY2
KIF5A,FA2H,TSPYL4,ITGA7,CASC3,DOK6,ARL6IP6,WFDC10A
RASA4,MLF1,CAMSAP2,KCNG1,MRAS,RBM24,SGOL2,CRYM
SHC3,FOXJ3,KIAA1107,ENHO,NLGN4Y,FKTN,LINC00471,MPP7
C1orf173,STK33,EHBP1,KCNJ6,VASH1,SLC35F1,WDSUB1,HECTD2
GSTT1,LRCH4,TRIM2,SLC27A1,FKBP4,TMEM130,FAM19A4,OR51E1
CCL4,AMY2B,NEDD4L,KCNS1,MORC2,FGF12,CMC1,KDELC2
DPF1,ANGPTL4,PSD3,KDR,ZHX2,FGF13,THAP6,PRICKLE1
CNTNAP5,DUSP1,MED13L,SHISA6,KIAA0907,GPC5,SLC38A9,CPNE8
KRBA2,C19orf77,KIAA0368,C2orf82,FKBP5,FHL1,C5orf41,LRFN5
ZNF385B,PLA2G16,TARDBP,C5orf46,ZBTB1,FKBP1B,SLC25A48,HAPLN3
DOK6,TPPP3,SLC44A1,LCN2,EPN2,HSPA4L,SRFBP1,VWA3A
GPR142,MAL2,HEY1,LFNG,RALY,PPM1E,PRELID2,VCAN
FRAS1,USH1C,CBX5,LGALS1,SIRT2,ANKRD6,SNRNP48,FBXL16
CPEB3,RGS10,SRRM2,LGALS3BP,FOXC1,RPH3A,CNKSR3,CSPG4
C9orf4,SFRS5,ZNF281,LIPE,SPEN,WDR47,CYP2A6,FLJ30679
PEG3,BGN,ADAT1,FADS1,PALLD,KIFAP3,IQUB,C16orf89
RAB26,UGT8,RASD2,LMNA,TMCC1,RAB3GAP1,CYP2J2,CST3
C2orf55,ZNF10,ZMYND8,C3orf80,KIAA0913,RAB18,TMEM74,CBLN2
NPAS2,CXCL2,KPNA6,SNX30,NCOA6,SHANK2,FAM154A,APCDD1
NAPSA,OSMR,KCNE4,LOXL1,FOXO1,DKK1,PRUNE2,TMEM56
C16orf55,BAMBI,GABARAPL1,FLJ20444,KDM4C,PTGR1,MOSPD2,MFSD4
IFI30,EDIL3,C9orf4,LRP2,TBC1D2B,TTC39A,ADSS,CTGF
BCMO1,CNTNAP4,MAFF,LTF,CAMTA2,RIMS1,FAM122B,FLJ30430
