Ctx_PD_up,Ctx_PD_dn,Str_PD_up,Str_PD_dn,SN_PD_up,SN_PD_dn,Ctx_DLB_up,Ctx_DLB_dn
RASA2,KIR3DX1,CALN1,,ZNF69,SLC1A2,NAA38,TMEM205
AMIGO2,KY,MAD1L1,,CA11,TMEM135,CPSF3,ARF1
KIAA1409,HIST2H2BE,NME5,,ZBTB16,WNK3,CYB5R2,PEAR1
CACNA1H,LIX1,TAF3,,ZNF202,SLC6A1,GPRC5B,KCND2
ZP2,TCEAL7,BCO2,,CXCR4,SLC6A3,UIMC1,MAST4
RASD2,MOBKL2B,SNX25,,CRELD1,ZBTB8A,CMPK1,KCNH1
TYRO3,ARMC10,EIF2A,,COLEC11,SLC8A2,HIGD1B,KCNJ3
C4B,CAST,GPR98,,CAD,SLC8A1,RSF1,RAB15
TAF1B,HNRNPH2,RBM48,,VKORC1,PCP4L1,PFDN2,KCNJ6
ADAM19,UQCRH,ULK1,,C19orf43,SLC18A2,PFKFB3,ARF3
KLF2,BNC2,FAM161A,,METTL16,SLC22A4,PFKP,KCNK2
CDON,TNN,RPF2,,C11orf83,SLIT1,PGAM2,KCNMA1
MT2A,ATP6V1B1,SLITRK6,,TAF1D,BMPR2,PHYH,KCNMB1
SLC35D3,ACTA2,BTBD10,,FA2H,SUMO3,SERPINB9,KCNN2
DLG4,IFI30,LZIC,,TNIP2,SNAP25,PIGC,KCNS1
RXFP4,IDI1,NSMAF,,C7orf23,SNAPC3,PIP4K2A,KCNS2
ATP6V1C2,ZNF350,EFCAB7,,ABHD16A,SNCA,PLCL1,MALAT1
PGM2L1,C10orf65,ZNF559,,ZXDC,SNCG,PLCG1,ARL4D
SNRNP48,SLC22A15,C15orf41,,CARS2,SOX11,PLD1,KDR
PITX2,MUTYH,CUL2,,ADIPOR2,SPAG1,TPCN1,KIT
FCER1G,SDR16C5,C6orf168,,CERS4,BPGM,PLOD2,KLRC3
CACNA1F,SHROOM4,MT4,,C22orf46,SRD5A1,PLXNB1,ILDR2
INTS4L1,FAM176A,,,RHBDF2,SST,PLXNB3,FIBIN
PITPNM1,TAX1BP3,SLC9A7,,ZDHHC14,SSTR1,PMCH,C14orf23
ELAVL1,OR13C3,SORBS2,,SAP30L,STAT1,PMM2,RHOB
SIPA1L1,PHF3,LNX1,,GLT25D1,STAT4,PMS1,TMEM220
OTUB2,INSIG1,OGT,,TBL1XR1,HSPA13,CPSF2,SHISA6
MARK1,TMBIM1,PCGF1,,ZNF768,ELOVL4,C21orf49,SLC6A17
LRG1,EFEMP2,TRIM52,,KCTD17,STXBP1,PNN,C2orf80
CAMTA2,FAM174A,PTPN5,,TBC1D17,SYT1,UBL3,C2orf82
PLA2G2E,DSC3,PLXDC2,,TTLL7,SYT4,04-Sep,L1CAM
SV2B,LOC728188,ZNF566,,ECHDC3,TAC1,C21orf91,AFF3
KIAA1324,DARC,CEP19,,C1orf115,TAF4B,DCUN1D1,RND3
ZNF710,NNMT,RERG,,MICALL2,TCEB1,POLA1,LAMA4
SNAP91,PRKCQ,ENC1,,CLMN,DYNLT3,GPR85,LAMB1
C1orf99,EDN3,KCNAB2,,EHMT1,TH,POLR2I,LAMC1
FHDC1,MATN3,HIST1H2BK,,MOB3B,KLF10,GAR1,LCP1
ARHGEF3,HEXDC,DGKE,,LPCAT1,CLEC3B,ANLN,LEPR
C16orf87,CRTAC1,CAMK1,,NUP85,TNFAIP3,ANKIB1,LGALS3
GABRA3,PIK3C2B,DCLK3,,NAA60,TPBG,SMCR7L,LGALS8
EPHB6,C14orf139,KIAA1731,,MAP6D1,TSNAX,CCDC76,ARHGDIB
FXYD3,B3GNT5,ZNF518B,,KAT6A,PHLDA2,PUS7,LIMK2
IPO8,YIF1A,EPT1,,SYNDIG1,TUB,WDR44,FADS3
ARL4A,SLC5A4,SCIN,,ZNF767,TTR,POU3F2,C11orf87
MNDA,GLP2R,PIAS1,,NAA25,TUBA4A,MAGEL2,SERTM1
LRRFIP1,CDH5,YARS,,CENPT,GXYLT2,SPATA6,LMO7
CASKIN1,LAPTM4B,SLC25A12,,MUS81,C5AR1,C9orf11,EML6
PID1,RHBDL2,USO1,,RUFY1,TUBB2A,FAM63B,FAM190A
WNT10B,MOBKL1A,RNASET2,,CDK5RAP3,LOC728392,PPARA,RGS7BP
CST11,OR10H5,AKR1C3,,EFHD1,UBE2N,OTUD4,VWA5A
C17orf69,CLIC1,NCOA1,,GKAP1,UBE2V2,NSMCE4A,LOC401320
C12orf50,UBA7,LAMTOR3,,ABTB1,UCHL1,C17orf59,PTPLAD2
ADRBK2,CSF2RA,DDX3Y,,COASY,UGCG,MBTD1,LOX
ADRA2C,HMGB2,ACTN1,,TNKS2,UTRN,HAUS6,LPP
LSAMP,TRIP12,NOL4,,COL18A1,VCAM1,PPID,LRP1
ZDHHC18,C1orf141,ADAM23,,AAAS,VDAC3,ZNF562,SPINK6
FLJ16124,RPL14,RGS9,,ILKAP,MPPED2,NDE1,LTBP1
C10orf81,SCN1B,ACTN2,,TMPRSS5,VRK1,SWT1,LTBP2
FAM180A,OR3A2,SUCLA2,,PTDSS2,VSNL1,GIN1,LTF
MC4R,FAM122B,LDB1,,MOB2,CORO2A,SYTL2,LUM
FGFBP2,FPGT,FUBP1,,STMN4,XK,GPATCH4,LY6E
ZFYVE28,IGSF10,AP1G2,,TSPAN14,YWHAZ,ZCCHC2,LY6H
ATP2B1,CAPSL,WASF1,,CCNL2,ZNF43,ST7L,LYZ
TTC39A,HPN,CCND2,,C15orf5,SNORD114-3,MTMR10,TM4SF1
NTAN1,HIVEP2,RSPH1,,TRIM56,ZNF136,PXK,M6PR
HOXC12,STAG3OS,UBE2CBP,,QTRT1,ZNF204P,CCDC99,FAM19A1
SLIT2,DOCK2,HS6ST2,,SYN3,CACNA1E,C14orf101,MAB21L1
C14orf105,CCDC8,KLHL13,,GTPBP6,CACNB3,RHBDL2,MARCKS
KLRG1,NDRG1,CCNT1,,CAPN2,TUBA1A,KANSL2,FNDC9
GDAP1L1,STK38,IFT20,,RBM10,SCG2,RNF125,SMAD3
RAB3GAP1,MST1,C1orf201,,CAPN3,PCYOX1L,DNAJC28,MAGEA8
GJD2,SFRP1,PIAS2,,KDM5D,FASTKD3,LPCAT2,STS
SLC6A2,KDM3A,CLDN12,,USP9Y,TRIM48,PPM1B,MAN1A1
HAPLN4,ENTPD5,EIF1AY,,AXIN1,APOO,PARP16,MAOA
C16orf28,AIF1L,USP10,,FZD7,PHF23,TIPIN,MAP2
OR2M2,UNG,CERS5,,FZD9,DHRS11,BANP,MARK1
BEGAIN,ITK,INA,,DOHH,BRCC3,CLN6,MAS1
CMTM8,C5orf64,SMC3,,HIST2H2BE,CALB1,PINX1,MATN3
FLJ36848,LACTB2,BOD1,,THAP2,CALB2,PPP1CC,MCAM
TMEM56,MEF2BNB,XRCC6BP1,,HIST1H4C,TMEM231,PPP2R3C,MCC
NRGN,PER2,NEXN,,SELO,RNF128,LINC00483,MCM3
C1orf21,SPATA22,FAM55C,,HIST1H4H,C6orf211,FAM70A,CD46
EDC3,DMXL1,REPS2,,HIST1H4E,FAM184A,NOL8,ADAM11
UTRN,COL16A1,CHRDL1,,NRIP2,RPAP3,ENOX1,DNAJB9
IKBKAP,GPR62,DDX21,,YPEL3,DYNC2H1,WDYHV1,ART3
IMPDH1,MLPH,DCLK1,,RBM4B,FLJ13197,GPATCH1,MDH1
CEP112,CCND1,LGI1,,BCO2,PARP8,EBLN2,MEF2C
FAM149A,C1orf162,CDHR1,,ITFG3,AAGAB,AGGF1,MEF2D
LOC389791,C1orf198,ITGB1BP1,,UXT,ANKRD55,PRPF38B,MEOX2
PAK1,PSEN1,HNRPLL,,RNASEH2C,ZBBX,FANCL,MEST
CYFIP2,PAPSS2,NDST3,,MAF1,FZD3,RBM28,MET
ATOH1,CNOT8,LHX2,,PRADC1,MCTP1,FIGN,MFAP4
KRT38,SLCO2B1,WDR67,,RNF135,RERGL,ANKZF1,MGP
SOD3,CYP51A1,PPIG,,MIEN1,ALS2CR8,PPP2CB,MGST1
CRYBB3,STARD3NL,KL,,LZIC,PTCD2,FAIM,CD99
TTTY14,ZCWPW1,NRXN3,,HVCN1,CAMKMT,RNF220,MID1
CPO,LRRN4CL,ACRC,,FAM195A,MAP9,RPRD1A,MME
BASP1,ALS2CR11,NMT2,,ELOF1,ATP8B4,RCBTB1,MMP2
NR6A1,BTK,SFXN1,,RAB11FIP4,TUSC3,LEPREL1,MMP14
SLC29A1,CCT6B,MED21,,LZTS2,PYROXD1,LRRC1,MMP16
NAGPA,IFI44,HOMER1,,LCOR,UBXN8,PPP2R3A,MOV10
LGALS9,TGFA,ONECUT2,,MEGF10,DHDDS,USP40,CD200
EPM2AIP1,BVES,SLC25A27,,MT4,ABCA11P,SMU1,MPP1
FAM84A,CPB1,AKAP5,,TPST2,DNAJB14,CCDC25,LOC440173
CADM1,C10orf10,ADAMTS3,,SLITRK2,C5orf44,TMEM206,POTEKP
PLEKHG2,FLJ43870,NPEPPS,,,FAM188A,PPP2R5A,C6orf138
DUSP8,C3orf64,SCAMP1,,MS4A14,SEMA6D,ASXL2,MYO1B
NPBWR2,C15orf29,C14orf2,,CAT,CSRNP3,CCDC91,ASS1
ELFN2,TRAV27,ENTPD3,,PSRC1,PGAP1,DDX19A,MSN
PTK2B,RFTN2,CEP41,,OGT,C14orf45,CPPED1,MSX2
MAPK7,ICAM2,PREPL,,FAM167B,C6orf97,SLC29A3,ASTN1
FBXL2,LRRC50,PRDX6,,CNDP1,FHOD3,LARP6,MYC
JAKMIP2,LOC440343,PDE4DIP,,PCGF1,NUBPL,ACER3,GADD45B
COL22A1,RGN,LPIN2,,CDC42BPA,PIGZ,CHDH,MYH9
GADD45A,CD37,KIAA0430,,PYROXD2,CCDC6,SLC22A15,MYH10
TCAP,UBA6,WSCD2,,ZNF514,TET1,TBC1D2,MYH11
KIAA0652,SLC22A18AS,KIAA0100,,ORAI1,KCNIP4,MIR31HG,ZFHX3
ZNF518B,NBPF14,ARHGAP32,,FAM73B,WDR61,ASPDH,MYL6
SCYL1,KATNA1,FRMPD4,,PLXDC2,SHOC2,CSGALNACT2,MYOC
IGLON5,LOC283874,PHYHIP,,C9orf3,TMEM22,FEM1A,NAP1L2
LHFPL5,ADPGK,KIAA0748,,C12orf34,CYB5B,IL17RB,NAP1L3
BHMT,EIF2S3,KIAA0753,,ZFYVE19,ASXL3,PRIM1,NDUFC2
ARHGDIG,MYLK3,TOMM70A,,ATG4C,SLC25A32,C2orf29,NELL1
AQP1,TP53TG5,ZC3H11A,,MUM1,COLEC12,KIF21A,NEFL
C1orf65,DYSF,TRANK1,,PPFIBP2,SYNC,DOCK10,NELL2
CDH18,ZNF608,LPPR4,,IGSF21,ITFG1,CHD7,ATP1A1
CACNB4,CEP41,KLHL21,,LSM10,SLC38A1,LYAR,NEUROD1
NRIP3,ZNF474,ARNT2,,PPFIA4,LBH,PIGV,NEUROD2
WFDC5,LOC644563,PAN2,,PPP1R16A,ISCA1,INTS8,ATP1A3
SLC46A2,MYL12A,NR1D2,,RBM17,PPP1R14C,SLC30A6,NID1
FLT3,CEP290,,,PKP4,NETO2,IWS1,ATP1B2
NOC2L,PIK3C3,,,SNHG12,ST6GALNAC5,PKIB,NNAT
SLC30A4,CTH,,,IFITM1,SEH1L,CCDC88A,NME1
ILDR2,LLGL1,,,HIST1H2BK,CLTCL1,FAM178A,NNMT
OR5AN1,TBX15,,,DGKD,PNPLA4,TSR1,NOS1
GLRX,PLAG1,,,PAQR8,CAPZA2,BTBD7,NOTCH3
SYP,ZNF684,,,SHANK3,FZD6,C1orf112,NOV
VIPR1,RAB20,,,TUBGCP6,HIST1H2BG,CDK5RAP2,NOVA1
ITPKB,NUDT7,,,SLC45A3,PITPNM3,ZNF83,PNP
LRRTM4,FAM171B,,,PIR,ARHGAP24,ZNF415,NPHP1
KIAA1522,TMED10,,,KIAA1731,DNAL1,FAM63A,ATP2A2
PMCH,PECI,,,TANC1,C18orf21,KDM3A,NPTX1
APLN,ID3,,,ZC3H12C,FAM167A,RNF130,NPY1R
CNOT4,MYL3,,,CDC14B,DYNLRB2,CENPN,NPY2R
GBGT1,GNA13,,,CDK10,CRISPLD1,USE1,NPY5R
HIST1H4B,SOX4,,,PLA2G4C,CALN1,IDI2-AS1,NRCAM
MPZL3,ACY1,,,PPAP2C,RIOK1,PLK1S1,ATP2B1
FAM167B,SUCLA2,,,STC2,NME5,TMEM165,NSF
RPRD2,PMS1,,,RNASET2,C1orf124,PRKD1,NT5E
PARD6B,TMEM38B,,,AKR1C3,PIP5K1B,GABRQ,ATP2B2
UROS,KEL,,,DDX3Y,SPARCL1,PRKCQ,NTRK3
RARB,TSR1,,,VAMP8,WDR54,ACSS2,ATP2B3
C6orf174,MORN5,,,STX10,ZRANB3,RNF114,NUCB1
ADAM28,HDAC11,,,DGAT1,ARL6,ERBB2IP,NUCB2
BCL2A1,TDRD9,,,SERPINH1,PCBD2,MAPK7,ATP2B4
FLJ44048,RPSA,,,PNPT1,SGIP1,SMG9,RNF165
KIF21B,PRKACB,,,CBR1,GARNL3,KLHL4,OCA2
CAP2,TEKT3,,,CBS,DCUN1D5,PRKX,ATP4A
C14orf119,OPLAH,,,TNFRSF10D,HSDL2,FAM214A,ODC1
CA11,INTU,,,BANF1,C9orf125,WDR45L,OMD
PAP2D,MXRA5,,,IQGAP1,CHCHD6,PROX1,OGN
TGFBRAP1,CLTC,,,FCGBP,C3orf26,AZGP1,OPCML
VAV3,SPAG17,,,LDB1,C2orf40,TRPV5,TNFRSF11B
TRPC4,HACL1,,,SYNJ2,JPH4,PRPSAP2,OXCT1
PTPRU,TBC1D8,,,SQSTM1,MAK16,PRRG1,PAH
MARK2,CAMK1G,,,SLC5A6,C6orf168,PRRG2,SERPINE1
EBF3,NCRNA00153,,,CCNA2,INSM2,KLK6,PAK1
TAT,TMED4,,,CPNE1,C9orf24,PSEN1,PAK3
ZNF609,STX7,,,AP1G2,SORBS2,BCCIP,CALY
C17orf58,PART1,,,H1FX,BEX2,CLDND1,ARHGEF3
RIT2,FLJ45244,,,P4HA2,LNX1,C10orf2,PAM
CDKN2AIPNL,MYO9B,,,ABCC10,LINC00467,PSG3,CNTN3
DNA2,HMOX1,,,ATG16L2,AGPAT9,PSG5,MYEF2
NPFFR1,BCKDHA,,,PLOD3,RTN4IP1,DPYSL5,COPS7A
TLR2,DDIT3,,,FAM125B,ATAD1,BDH2,F11R
CTSA,SLC25A32,,,CCNG2,RGS5,PNO1,STMN3
PTPRR,M6PR,,,SAMD1,UBASH3B,SPIRE1,PBX1
LRP8,NDUFA4L2,,,IFT20,TOX2,C1GALT1,PCDH1
SLC38A7,C6orf182,,,AIP,MIR22HG,GPR108,PCDH8
PDGFRA,CNN1,,,MLIP,PPFIA2,C11orf30,ST8SIA3
MRGPRX1,FAM123A,,,COX19,RERG,SMYD2,PCK1
CCDC90A,HMGB1L1,,,PPP1R3E,TMEM128,OTUD7B,PI15
C6orf123,COLEC11,,,PYGO2,C11orf70,STOX2,ATL1
CPNE5,LAMP2,,,EIF1AY,PEX3,TULP4,FAM164A
C1orf109,FRAG1,,,HN1L,ENC1,SLC17A6,TRIM17
LMO7,S1PR3,,,SART1,NIPSNAP1,PSMD4,RNFT1
MFSD9,TSC22D3,,,TRIM41,COPS3,CYSLTR2,HN1
CACNA2D3,CDCA7,,,TRIM47,KIAA1644,REXO4,PLEKHO1
TPRKB,PHACTR4,,,PDLIM1,FAM207A,LYRM1,PCOLCE
C17orf75,MMP14,,,SMC3,EAF1,PELI2,RAPGEFL1
IL17RB,FLJ40288,,,FAM50A,TSPYL5,NIPAL3,PLCE1
TREH,TRIM59,,,GUSBP11,DISP2,KIAA1147,GP6
CLEC3B,DUSP10,,,ANKRD40,GFM1,PSPH,PCSK1
GABRQ,AKR1E2,,,UAP1L1,PRPF18,CYP20A1,COPZ2
YWHAH,MFSD6,,,CXorf1,DENR,DSCAML1,CRIM1
FAM47C,NCAM2,,,SYNGR2,SLC25A12,TMCC3,PCSK2
PDE8B,C7,,,ACBD5,PPAP2B,ISY1,CLEC1A
MTMR12,CPS1,,,RPS19BP1,CADPS,ERMN,C1RL
PDIA3,LDHB,,,DDX21,PDE8B,PLEKHH1,GOLM1
FLJ45139,RRBP1,,,MTSS1L,ASMTL,SHROOM4,NRN1
FGF2,GJB6,,,MTG1,PSMG1,USP31,GCNT4
FMO3,SEC11A,,,CYTH2,RTCD1,ZNF608,FKBP11
CGNL1,ADHFE1,,,CD9,EIF3J,MTUS1,SLC25A37
MKI67,ATP2A3,,,TRIP10,SLC4A4,STARD9,FAM198B
ZNF382,HLA-J,,,TRIP4,VAMP4,RGAG1,AHSP
CCDC34,C1orf122,,,GTF3C5,CBLN1,CGN,MS4A4A
UBE2O,HS6ST2,,,CD22,B3GALNT1,MIB1,PDE1A
OR14I1,COL9A2,,,TJAP1,SNX4,SORCS2,HOOK1
KRT17,SDS,,,RAB9A,TNFSF10,ZNF398,CDC40
OR6Y1,PAAF1,,,ACRC,RAB11A,ZNF624,CHST15
SELPLG,P4HA1,,,SYTL4,DLK1,ZNF471,PLA1A
PPFIA2,YES1,,,DDX23,SUCLA2,PCDH10,SNX7
FOXQ1,EIF2AK3,,,MAP4K4,INPP4B,PREX1,PDE2A
HTR4,CDC42,,,HOMER3,CES2,DIP2B,CSAD
GLP2R,AQP1,,,PICK1,CCK,KLHL1,WNT16
CDK5R2,LOC149134,,,C1orf38,SYNJ1,ARHGAP23,PDE3A
KIAA1239,MYH3,,,CHST10,CCKBR,CCDC146,PPME1
EPB41L4A,SRP9,,,PGS1,CCNA1,POGK,PRKAG2
CEP152,NOVA1,,,SCARB1,GYG2,DHX37,HPCAL4
PSG8,PLAT,,,MYOT,SKAP2,RNF213,YTHDF2
TPM2,FOXN2,,,CD37,CDK5R2,ZFP14,GULP1
ANKS3,LRP11,,,ADAMTS1,USP13,DDX55,LIMA1
RAPGEF6,LDLRAP1,,,SPTLC2,RSPH1,KIAA1598,PDE1B
ARPP-21,FKBP10,,,BAG3,HS6ST2,SFMBT2,NT5DC3
LYVE1,STXBP6,,,EI24,CCNH,PTPN11,PDGFRA
MS4A10,MAGEF1,,,APBA3,CH25H,PTPRD,RAB6B
C20orf54,ZNF600,,,PDIA4,CEACAM21,PTPRK,IL23A
SPINK5,LOC442535,,,SEC24C,KLHL13,BARD1,HDAC7
RALGPS2,TGFBI,,,ARHGEF10,ZNF622,RAD1,PDGFRL
NCKAP1,SLC11A1,,,PDE4DIP,GPRC5A,PEX2,PDGFRB
MT1F,PNN,,,SAFB2,DIRAS3,PEX5,ATP6V1H
OR2B11,HPS5,,,IPO13,LDB2,PLEKHB1,HMP19
FAM13A,LCE3D,,,FAM53B,PRMT10,TP53INP2,DYNC2LI1
MMAB,ZNF830,,,KIAA0100,C16orf93,ARHGAP22,YPEL5
ARG2,CCDC96,,,ST18,IL33,DMRT3,RASD1
C10orf2,FAM107B,,,KIAA0355,DHX57,MID1IP1,PDK4
ACTR6,DEK,,,SEC14L5,USP14,SNX6,PECAM1
HELZ,C3orf70,,,TMEM63A,MTMR7,QDPR,ERAP1
SST,TARP,,,CCP110,SLC25A46,RAD51B,SERPINF1
C17orf44,LRRC34,,,SETD1A,INA,RAD52,MST4
SERPINB11,RCBTB1,,,PHF16,SLC16A6,RALGDS,ATP8B1
PRB2,TTC26,,,RASSF2,RQCD1,RAP1A,PFKM
C6orf142,NSMCE4A,,,RAPGEF5,CCNE2,RAP1GDS1,PFN1
FBXO31,HES6,,,KIAA0195,SYNGR3,RARS,PFN2
CCDC28A,C10orf92,,,PIEZO1,RSAD2,RBBP8,CDK14
HSPB2,EML3,,,RNF144A,DGKI,RBL1,PGGT1B
OTUD7A,CNN2,,,KEAP1,ZW10,SENP2,ATP6V1A
PCDH21,ZNF642,,,ZC3H11A,TTC5,RCVRN,PGK1
C7orf34,LRRC1,,,RHOBTB1,ARRDC4,RDX,PGR
FAM118B,CLEC2D,,,TECPR2,DCLK1,RELA,ABCB1
LMO3,DIRC2,,,KLHL21,XPR1,RENBP,ATP6V1B2
TOM1,SAR1A,,,DENND4B,DAPL1,RET,PHKG1
WNT2B,DOCK5,,,TMCC2,NAF1,RFC4,SERPINA1
CHMP7,GPR34,,,NCAPD2,CACNA2D2,CDH26,ATP6V0C
DPP6,PTH2R,,,ZBTB40,UBE2Q2,HAPLN2,SERPINE2
FAM164A,ODC1,,,PAN2,B4GALT6,MRPS35,SERPINB8
ARHGAP36,CLMN,,,CDC25B,OPALIN,CCDC90B,SERPINI1
FXYD6,CTPS2,,,USP3,SLIT2,C14orf93,ATP6V1C1
MTSS1L,HIST1H2BF,,,CDC34,CADPS2,RPL13,PITPNA
FAM59B,ALS2CR14,,,NR1D2,NRXN3,RPL22,PKM2
STOML1,PSIP1,,,RCE1,PLAA,RPL27A,PKP2
PIK3R2,PCDHA10,,,,COG1,MRPS12,PLA2G2A
FAM133A,TRPM8,,,,SYAP1,ZNF704,PLA2G4A
LOC284009,FRMD4B,,,,ECEL1,RPS27A,PLA2G5
USP31,FADS1,,,,MED7,RTKN,PLAGL1
GPER,ZNF488,,,,HOMER1,SALL1,PLAT
PASK,ZNF761,,,,ROCK2,SC5DL,PLAU
WFIKKN1,C6orf120,,,,SLC4A8,SCD,PLCB4
PDZRN4,MDFIC,,,,MAGED1,CCL2,BCL11A
ENTPD4,TCEA1,,,,VPS4B,PIEZO2,SHC3
CBFA2T3,CRTC3,,,,CXCL14,C5orf54,ATP6V1G2
PMAIP1,MIS12,,,,ATP6V1G1,XPNPEP3,FXYD1
TMEM217,ELOVL7,,,,ENTPD3,CCDC90A,PLN
KIAA1875,TMEM206,,,,GABBR2,C20orf177,PLP2
SLITRK3,ITGB4,,,,CEP41,KIF13A,PLS3
FRMPD4,SYAP1,,,,SPAG6,FIGNL1,PLSCR1
C7orf45,CXorf57,,,,BRE,LHPP,PLTP
OCRL,TCTN3,,,,PREPL,SNX16,PLXNA2
AMICA1,NOL3,,,,AKAP12,EPB41L4A,PNOC
C2CD2L,CCDC89,,,,RNF14,PARVG,FXYD7
NAPRT1,INF2,,,,GDA,IFIH1,FXYD6
RASD1,OR1K1,,,,GCC2,SEPP1,FXYD5
DTX3,GREM1,,,,TTC37,ERAP2,SLCO1C1
KIAA0664,NOX4,,,,HS2ST1,OSGEPL1,CNTN5
ZNF252,RCAN2,,,,CD69,POPDC3,A4GALT
MAP2K1,RPS3,,,,EDEM1,SFRP1,PRRX1
ANKRD11,FHL5,,,,RIMS2,C17orf109,SLC37A1
GAS8,SLC35B2,,,,SLK,NOC3L,CLIC6
ZNF69,GNAI1,,,,FAM65B,ARHGAP9,PION
RTN2,C8orf46,,,,PTDSS1,IKZF5,CXorf40B
PPAPDC3,HLA-A,,,,TOMM20,ZFP62,GNG2
CLIP1,HEY1,,,,DNAJC6,GREM2,DNAJC10
EXTL3,SFRS12,,,,KIAA0319,ZFP106,PON3
CENPF,CLIC3,,,,PJA2,MPP5,PLEKHA5
ADH1A,PAWR,,,,LPPR4,HHIP,TMX3
DKFZp686K16132,FAM134C,,,,SV2A,AKTIP,TMCO1
RASAL2,MCM9,,,,ARHGAP44,GZF1,RBM47
MAP3K9,CCDC76,,,,P2RY14,MTMR14,PCDH18
STARD13,TMX2,,,,CRYZL1,INF2,USP53
DPP9,C12orf23,,,,HS3ST2,SGCG,NECAB2
C16orf86,C8orf37,,,,CDC27,SH3BGR,EPB41L4B
TNRC4,ASCL1,,,,CDC42,SH3GL3,MXRA8
STX3,DEFA6,,,,,FBXW4,PCDHB18
NFU1,DKFZP586H2123,,,,,CCDC136,TMEM106B
CLTB,OR52B4,,,,,C11orf1,PDP1
GK5,RASL12,,,,,CERK,RBFOX1
LOC731986,PRSS33,,,,,CEP85,SLC6A20
PLS1,PTPRZ1,,,,,RMND5A,FAM20A
MBD3,ZNF627,,,,,DEPTOR,CTSA
ANXA3,RG9MTD2,,,,,NMNAT1,DIRAS2
CHD9,CNKSR3,,,,,P2RY12,PPIB
C20orf134,GOLGA7,,,,,ST8SIA1,BNC2
SLC7A8,PRUNE2,,,,,LOC648987,AHI1
COLEC12,C9orf50,,,,,STIL,ASPN
LCN2,BRP44L,,,,,TTC23,LRRC49
OR51L1,MAK,,,,,SIPA1,BIVM
H2BFWT,MAGEC3,,,,,MRPS6,SIDT1
HIST1H2BA,FAM81B,,,,,KRI1,PAQR5
CCDC91,ZNF783,,,,,WNK1,FAM46C
SLC22A12,NUDT1,,,,,MPPE1,SNRK
MRPL35,IQGAP1,,,,,SLC5A3,PIGG
CORO2B,RAB33A,,,,,WNK3,PALMD
LOC93622,MRPL30,,,,,SLC6A9,ELOVL2
PPL,SGEF,,,,,SLC6A12,PPL
RDH12,CALCB,,,,,SLC7A1,02-Mar
ANXA11,RNF130,,,,,LOC654433,FAM118A
ZNF398,NT5DC1,,,,,SLC12A2,HERC6
NANOS1,TMEM133,,,,,SLC18A3,PID1
CAMSAP1L1,MRPS28,,,,,SLC25A1,FBXO34
GDF3,FCGR2A,,,,,SLCO1A2,PPP1R2
FAM3D,FAM114A1,,,,,PHACTR4,ZWILCH
PNMAL1,E2F7,,,,,SMARCC1,SUSD4
NSL1,CCDC19,,,,,TRAK2,C9orf68
TDRKH,GTF2H1,,,,,SOS2,OXR1
SLC24A4,ACN9,,,,,BOK,UACA
OR9Q2,C6orf203,,,,,SOX10,AVP
KCNK18,FIS1,,,,,DST,GPATCH2
COL19A1,FAM177A1,,,,,SPAST,PPP2CA
CKM,FBXO32,,,,,SPRR2G,PPP2R1A
LIM2,CRABP1,,,,,SQLE,LGI2
CLDN12,CYP4F11,,,,,BRCA1,PNMAL1
GLRX3,RAI14,,,,,SREBF1,KIRREL
ATG12,SLC4A5,,,,,SSB,SLC47A1
NCDN,ZNF623,,,,,SCARNA17,ECHDC2
SAMD4A,OSGIN1,,,,,STK4,TMEM100
KRT222P,RASSF1,,,,,STX4,PGM2
TMEM74,CTNNA3,,,,,STXBP3,MCOLN3
ABLIM2,PKP2,,,,,SURF1,FBXW7
SPATA2,WDR35,,,,,VAMP1,PPP3CA
SPINT2,TCP11L2,,,,,TACR3,GIMAP4
MZT2B,USO1,,,,,TADA2A,SPTLC3
EIF2AK2,GAB1,,,,,TAF7,PPP3CB
OR5AR1,RNF122,,,,,TAF12,TMEM74B
VNN1,NEU3,,,,,TAF13,LIN7C
ASB6,NEK7,,,,,TARS,MNS1
PRKCB,CD36,,,,,CNTN2,DRAM1
SHROOM3,DNASE1L3,,,,,TAZ,NIPSNAP3B
FAM57B,DRD1,,,,,TBL1X,PPP3R1
TOX,ASAH2,,,,,TBX6,HEMGN
NT5DC3,ZNF267,,,,,TDO2,PPT1
HCK,SYT15,,,,,TF,MEG3
NR0B2,DHRS4,,,,,TFAM,ANKRD30BL
LINGO1,COPZ2,,,,,TFAP4,CAMK2N1
KCNK12,STAT3,,,,,TFDP2,PREP
ISLR,TMEM198B,,,,,TGFA,H2AFY2
FSTL5,LMCD1,,,,,TGFB3,SRGN
MPZ,POU3F2,,,,,THBS2,SVOP
SFMBT2,TXNDC9,,,,,TIAM1,ELMOD1
ABHD14A,RETSAT,,,,,TKT,MED29
SLC9A7,SNX31,,,,,TLE4,DDX60
SYT13,UQCRB,,,,,TLL2,FAM46A
NR2F2,OSBPL9,,,,,TRAPPC10,LRRC16A
GRM4,TMEM116,,,,,TMF1,PRKAA2
CCNY,VAMP3,,,,,TNFAIP6,SYBU
IRF2,ATP8B1,,,,,TPD52L1,PRKAB1
MYBPH,LOC731823,,,,,C3,FLVCR2
SERPINB5,PDE1A,,,,,TRPC4,CDC37L1
PTH2R,STAT5A,,,,,TTC1,SCYL2
